"","N","N_pos","mid_age","name"
"111",5,1,5,"Bekasi Timur, IND [50]"
"112",9,5,6,"Bekasi Timur, IND [50]"
"113",6,3,7,"Bekasi Timur, IND [50]"
"114",7,3,8,"Bekasi Timur, IND [50]"
"115",3,3,9,"Bekasi Timur, IND [50]"
"116",4,4,10,"Bekasi Timur, IND [50]"
"117",5,4,11,"Bekasi Timur, IND [50]"
"118",6,6,12,"Bekasi Timur, IND [50]"
"119",6,6,13,"Bekasi Timur, IND [50]"
"120",8,8,14,"Bekasi Timur, IND [50]"
"121",9,8,15,"Bekasi Timur, IND [50]"
"122",11,9,16,"Bekasi Timur, IND [50]"
"123",4,4,17,"Bekasi Timur, IND [50]"
"124",2,2,18,"Bekasi Timur, IND [50]"
"125",2,0,1,"Singaparna, IND [50]"
"126",6,1,2,"Singaparna, IND [50]"
"127",12,1,3,"Singaparna, IND [50]"
"128",2,1,4,"Singaparna, IND [50]"
"129",5,2,5,"Singaparna, IND [50]"
"130",6,2,6,"Singaparna, IND [50]"
"131",7,1,7,"Singaparna, IND [50]"
"132",7,5,8,"Singaparna, IND [50]"
"133",4,2,9,"Singaparna, IND [50]"
"134",7,1,10,"Singaparna, IND [50]"
"135",5,1,11,"Singaparna, IND [50]"
"136",5,4,12,"Singaparna, IND [50]"
"137",4,2,13,"Singaparna, IND [50]"
"138",8,7,14,"Singaparna, IND [50]"
"139",9,5,15,"Singaparna, IND [50]"
"140",7,6,16,"Singaparna, IND [50]"
"141",6,3,17,"Singaparna, IND [50]"
"142",5,4,18,"Singaparna, IND [50]"
"143",6,0,1,"Trucuk in IND [50]"
"144",3,0,2,"Trucuk in IND [50]"
"145",8,0,3,"Trucuk in IND [50]"
"146",5,0,4,"Trucuk in IND [50]"
"147",4,0,5,"Trucuk in IND [50]"
"148",7,3,6,"Trucuk in IND [50]"
"149",8,7,7,"Trucuk in IND [50]"
"150",6,2,8,"Trucuk in IND [50]"
"151",4,4,9,"Trucuk in IND [50]"
"152",7,4,10,"Trucuk in IND [50]"
"153",6,4,11,"Trucuk in IND [50]"
"154",4,4,12,"Trucuk in IND [50]"
"155",5,4,13,"Trucuk in IND [50]"
"156",7,7,14,"Trucuk in IND [50]"
"157",9,8,15,"Trucuk in IND [50]"
"158",10,10,16,"Trucuk in IND [50]"
"159",6,6,17,"Trucuk in IND [50]"
"160",2,2,18,"Trucuk in IND [50]"
"161",3,0,1,"Pecangaan, IND [50]"
"162",8,2,2,"Pecangaan, IND [50]"
"163",9,2,3,"Pecangaan, IND [50]"
"164",3,1,4,"Pecangaan, IND [50]"
"165",6,3,5,"Pecangaan, IND [50]"
"166",4,3,6,"Pecangaan, IND [50]"
"167",7,6,7,"Pecangaan, IND [50]"
"168",9,7,8,"Pecangaan, IND [50]"
"169",5,4,9,"Pecangaan, IND [50]"
"170",5,5,10,"Pecangaan, IND [50]"
"171",4,4,11,"Pecangaan, IND [50]"
"172",5,5,12,"Pecangaan, IND [50]"
"173",8,8,13,"Pecangaan, IND [50]"
"174",7,7,14,"Pecangaan, IND [50]"
"175",9,9,15,"Pecangaan, IND [50]"
"176",8,8,16,"Pecangaan, IND [50]"
"177",7,7,17,"Pecangaan, IND [50]"
"178",8,2,2,NA
"179",6,1,3,NA
"180",7,2,4,NA
"181",7,4,5,NA
"182",3,1,6,NA
"183",5,3,7,NA
"184",6,3,8,NA
"185",10,6,9,NA
"186",9,6,10,NA
"187",5,5,11,NA
"188",6,5,12,NA
"189",3,3,13,NA
"190",4,4,14,NA
"191",7,7,15,NA
"192",7,7,16,NA
"193",11,7,17,NA
"194",2,2,18,NA
"195",4,2,1,"Dukuhturi, IND [50]"
"196",4,2,2,"Dukuhturi, IND [50]"
"197",7,4,3,"Dukuhturi, IND [50]"
"198",7,4,4,"Dukuhturi, IND [50]"
"199",6,5,5,"Dukuhturi, IND [50]"
"200",4,3,6,"Dukuhturi, IND [50]"
"201",5,4,7,"Dukuhturi, IND [50]"
"202",9,8,8,"Dukuhturi, IND [50]"
"203",5,4,9,"Dukuhturi, IND [50]"
"204",5,5,10,"Dukuhturi, IND [50]"
"205",8,7,11,"Dukuhturi, IND [50]"
"206",8,8,12,"Dukuhturi, IND [50]"
"207",7,7,13,"Dukuhturi, IND [50]"
"208",1,1,14,"Dukuhturi, IND [50]"
"209",9,9,15,"Dukuhturi, IND [50]"
"210",10,10,16,"Dukuhturi, IND [50]"
"211",7,7,17,"Dukuhturi, IND [50]"
"212",1,1,18,"Dukuhturi, IND [50]"
"213",6,3,1,"Tegal Barat, IND [50]"
"214",9,3,2,"Tegal Barat, IND [50]"
"215",4,2,3,"Tegal Barat, IND [50]"
"216",3,1,4,"Tegal Barat, IND [50]"
"217",4,2,5,"Tegal Barat, IND [50]"
"218",7,6,6,"Tegal Barat, IND [50]"
"219",6,6,7,"Tegal Barat, IND [50]"
"220",7,7,8,"Tegal Barat, IND [50]"
"221",5,5,9,"Tegal Barat, IND [50]"
"222",6,4,10,"Tegal Barat, IND [50]"
"223",6,6,11,"Tegal Barat, IND [50]"
"224",7,7,12,"Tegal Barat, IND [50]"
"225",5,5,13,"Tegal Barat, IND [50]"
"226",6,6,14,"Tegal Barat, IND [50]"
"227",9,9,15,"Tegal Barat, IND [50]"
"228",9,9,16,"Tegal Barat, IND [50]"
"229",8,8,17,"Tegal Barat, IND [50]"
"230",3,0,1,"Pulung, IND [50]"
"231",9,2,2,"Pulung, IND [50]"
"232",7,1,3,"Pulung, IND [50]"
"233",3,2,4,"Pulung, IND [50]"
"234",4,1,5,"Pulung, IND [50]"
"235",8,2,6,"Pulung, IND [50]"
"236",7,1,7,"Pulung, IND [50]"
"237",5,1,8,"Pulung, IND [50]"
"238",5,3,9,"Pulung, IND [50]"
"239",7,4,10,"Pulung, IND [50]"
"240",7,2,11,"Pulung, IND [50]"
"241",6,1,12,"Pulung, IND [50]"
"242",6,5,13,"Pulung, IND [50]"
"243",3,2,14,"Pulung, IND [50]"
"244",9,4,15,"Pulung, IND [50]"
"245",8,2,16,"Pulung, IND [50]"
"246",9,4,17,"Pulung, IND [50]"
"247",1,0,18,"Pulung, IND [50]"
"248",6,0,1,"Cluring, IND [50]"
"249",8,0,2,"Cluring, IND [50]"
"250",3,1,3,"Cluring, IND [50]"
"251",5,1,4,"Cluring, IND [50]"
"252",4,0,5,"Cluring, IND [50]"
"253",6,3,6,"Cluring, IND [50]"
"254",4,3,7,"Cluring, IND [50]"
"255",10,4,8,"Cluring, IND [50]"
"256",6,5,9,"Cluring, IND [50]"
"257",4,3,10,"Cluring, IND [50]"
"258",5,4,11,"Cluring, IND [50]"
"259",7,7,12,"Cluring, IND [50]"
"260",5,5,13,"Cluring, IND [50]"
"261",8,7,14,"Cluring, IND [50]"
"262",5,5,15,"Cluring, IND [50]"
"263",6,5,16,"Cluring, IND [50]"
"264",9,9,17,"Cluring, IND [50]"
"265",5,5,18,"Cluring, IND [50]"
"266",13,1,1,"Ngoro, IND [50]"
"267",4,1,2,"Ngoro, IND [50]"
"268",3,1,3,"Ngoro, IND [50]"
"269",2,1,4,"Ngoro, IND [50]"
"270",4,2,5,"Ngoro, IND [50]"
"271",8,6,6,"Ngoro, IND [50]"
"272",5,3,7,"Ngoro, IND [50]"
"273",5,4,8,"Ngoro, IND [50]"
"274",8,8,9,"Ngoro, IND [50]"
"275",10,10,10,"Ngoro, IND [50]"
"276",7,7,11,"Ngoro, IND [50]"
"277",3,3,12,"Ngoro, IND [50]"
"278",6,6,13,"Ngoro, IND [50]"
"279",3,3,14,"Ngoro, IND [50]"
"280",7,7,15,"Ngoro, IND [50]"
"281",7,7,16,"Ngoro, IND [50]"
"282",10,9,17,"Ngoro, IND [50]"
"283",2,2,18,"Ngoro, IND [50]"
"284",6,1,1,"Kalianget, IND [50]"
"285",1,0,2,"Kalianget, IND [50]"
"286",9,1,3,"Kalianget, IND [50]"
"287",7,1,4,"Kalianget, IND [50]"
"288",7,4,5,"Kalianget, IND [50]"
"289",8,2,6,"Kalianget, IND [50]"
"290",6,6,7,"Kalianget, IND [50]"
"291",3,0,8,"Kalianget, IND [50]"
"292",4,4,9,"Kalianget, IND [50]"
"293",6,4,10,"Kalianget, IND [50]"
"294",2,2,11,"Kalianget, IND [50]"
"295",5,4,12,"Kalianget, IND [50]"
"296",6,4,13,"Kalianget, IND [50]"
"297",11,10,14,"Kalianget, IND [50]"
"298",5,5,15,"Kalianget, IND [50]"
"299",7,7,16,"Kalianget, IND [50]"
"300",8,7,17,"Kalianget, IND [50]"
"301",4,4,18,"Kalianget, IND [50]"
"302",3,0,1,"Sawahan, IND [50]"
"303",10,5,2,"Sawahan, IND [50]"
"304",1,1,3,"Sawahan, IND [50]"
"305",8,8,4,"Sawahan, IND [50]"
"306",6,3,5,"Sawahan, IND [50]"
"307",8,7,6,"Sawahan, IND [50]"
"308",2,2,7,"Sawahan, IND [50]"
"309",8,7,8,"Sawahan, IND [50]"
"310",5,5,9,"Sawahan, IND [50]"
"311",9,8,10,"Sawahan, IND [50]"
"312",3,3,11,"Sawahan, IND [50]"
"313",5,4,12,"Sawahan, IND [50]"
"314",4,3,13,"Sawahan, IND [50]"
"315",8,8,14,"Sawahan, IND [50]"
"316",6,6,15,"Sawahan, IND [50]"
"317",6,6,16,"Sawahan, IND [50]"
"318",11,10,17,"Sawahan, IND [50]"
"319",4,4,18,"Sawahan, IND [50]"
"320",5,2,1,"Denpasar Selatan, IND [50]"
"321",7,2,2,"Denpasar Selatan, IND [50]"
"322",7,1,3,"Denpasar Selatan, IND [50]"
"323",3,1,4,"Denpasar Selatan, IND [50]"
"324",8,6,5,"Denpasar Selatan, IND [50]"
"325",6,4,6,"Denpasar Selatan, IND [50]"
"326",6,4,7,"Denpasar Selatan, IND [50]"
"327",5,3,8,"Denpasar Selatan, IND [50]"
"328",4,4,9,"Denpasar Selatan, IND [50]"
"329",6,4,10,"Denpasar Selatan, IND [50]"
"330",9,5,11,"Denpasar Selatan, IND [50]"
"331",1,1,12,"Denpasar Selatan, IND [50]"
"332",9,9,13,"Denpasar Selatan, IND [50]"
"333",5,5,14,"Denpasar Selatan, IND [50]"
"334",11,10,15,"Denpasar Selatan, IND [50]"
"335",5,3,16,"Denpasar Selatan, IND [50]"
"336",10,9,17,"Denpasar Selatan, IND [50]"
"337",2,1,2,"Samarinda Ulu, IND [50]"
"338",14,5,3,"Samarinda Ulu, IND [50]"
"339",6,2,4,"Samarinda Ulu, IND [50]"
"340",5,1,5,"Samarinda Ulu, IND [50]"
"341",3,0,6,"Samarinda Ulu, IND [50]"
"342",5,3,7,"Samarinda Ulu, IND [50]"
"343",10,5,8,"Samarinda Ulu, IND [50]"
"344",6,3,9,"Samarinda Ulu, IND [50]"
"345",6,5,10,"Samarinda Ulu, IND [50]"
"346",8,5,11,"Samarinda Ulu, IND [50]"
"347",2,2,12,"Samarinda Ulu, IND [50]"
"348",5,5,13,"Samarinda Ulu, IND [50]"
"349",8,5,14,"Samarinda Ulu, IND [50]"
"350",6,5,15,"Samarinda Ulu, IND [50]"
"351",9,9,16,"Samarinda Ulu, IND [50]"
"352",9,8,17,"Samarinda Ulu, IND [50]"
"353",3,3,18,"Samarinda Ulu, IND [50]"
"354",5,0,1,"Rantepao, IND [50]"
"355",6,2,2,"Rantepao, IND [50]"
"356",7,2,3,"Rantepao, IND [50]"
"357",5,0,4,"Rantepao, IND [50]"
"358",3,1,5,"Rantepao, IND [50]"
"359",4,3,6,"Rantepao, IND [50]"
"360",4,3,7,"Rantepao, IND [50]"
"361",1,0,8,"Rantepao, IND [50]"
"362",10,5,9,"Rantepao, IND [50]"
"363",6,4,10,"Rantepao, IND [50]"
"364",7,3,11,"Rantepao, IND [50]"
"365",6,1,12,"Rantepao, IND [50]"
"366",8,4,13,"Rantepao, IND [50]"
"367",8,3,14,"Rantepao, IND [50]"
"368",7,6,15,"Rantepao, IND [50]"
"369",10,6,16,"Rantepao, IND [50]"
